Customer ID,Name,Surname,Gender,Birthdate,Amount,Date,Merchant Name,Category,Age,Month
752858,Sean,Rodriguez,F,2002-10-20,35.47,2023-04-03,Smith-Russell,Cosmetic,24,4
26381,Michelle,Phelps,Unknown,1985-10-24,2552.72,2023-07-17,"Peck, Spence and Young",Travel,41,7
305449,Jacob,Williams,M,1981-10-25,115.97,2023-09-20,Steele Inc,Clothing,45,9
988259,Nathan,Snyder,M,1977-10-26,11.31,2023-01-11,"Wilson, Wilson and Russell",Cosmetic,49,1
764762,Crystal,Knapp,F,1951-11-02,62.21,2023-06-13,Palmer-Hinton,Electronics,75,6
576539,Monica,Bartlett,F,2001-10-20,99.14,2023-08-24,"Tran, Torres and Joyce",Cosmetic,25,8
124681,Thomas,Shaw,Unknown,1976-10-26,145.94,2023-08-30,"Evans, Griffin and Torres",Cosmetic,50,8
521807,Kelsey,Pena,F,1968-10-28,161.39,2023-02-08,Miller PLC,Cosmetic,58,2
504238,Denise,Porter,M,1957-10-31,77.73,2023-01-12,Jackson-Morgan,Restaurant,69,1
583532,Alexander,Richardson,F,1974-10-27,142.85,2023-06-07,"Blake, Mays and Anderson",Clothing,52,6
924841,Kimberly,Ball,M,1976-10-26,928.68,2023-02-11,"Miller, Walker and Bond",Travel,50,2
123235,Hunter,Peters,M,1971-10-28,387.78,2023-09-24,"Barker, Ortiz and Cox",Market,55,9
840546,Julie,Russell,M,1968-10-28,142.07,2023-08-07,Taylor-Morrow,Cosmetic,58,8
516709,Christopher,Harris,M,2004-10-19,107.44,2023-04-22,Gonzalez-Hunter,Cosmetic,22,4
683760,Amber,Brown,M,2004-10-19,54.31,2023-04-10,Underwood-Contreras,Cosmetic,22,4
777948,Amy,Pierce,F,1966-10-29,79.57,2023-01-05,Rodriguez Ltd,Restaurant,60,1
440706,Elizabeth,Barnes,F,1957-10-31,441.18,2023-02-28,Wilson-Zavala,Market,69,2
793150,Chad,Reese,Unknown,1962-10-30,475.82,2023-04-22,Hughes Inc,Market,64,4
27213,Michelle,Holden,M,1949-11-02,106.26,2023-05-20,Morris-Foster,Cosmetic,77,5
401993,Steven,Smith,M,1999-10-21,1468.14,2023-05-14,"Thompson, Lopez and Mason",Travel,27,5
103920,Patrick,Price,M,1977-10-26,40.08,2023-05-28,"Barber, Williamson and Norman",Clothing,49,5
943548,Daniel,Pitts,Unknown,1995-10-22,39.87,2023-06-01,Shaw-Elliott,Clothing,31,6
178351,Robert,Rice,F,1993-10-22,151.73,2023-06-29,Solis-Washington,Clothing,33,6
615357,Sara,Michael,M,1993-10-22,17.05,2023-04-17,Wright Inc,Restaurant,33,4
111696,Anthony,Miller,Unknown,1991-10-23,108.3,2023-06-14,"Nguyen, Patel and Dudley",Cosmetic,35,6
6905,Jessica,White,M,1981-10-25,366.56,2023-02-01,"Berry, Reeves and Best",Market,45,2
291542,Kimberly,Ross,M,1959-10-31,924.23,2023-03-18,"Pacheco, Sullivan and Jones",Electronics,67,3
517389,Brian,Jones,F,1956-10-31,781.85,2023-03-30,Dorsey Inc,Travel,70,3
744599,William,Contreras,F,2003-10-20,1479.49,2023-04-15,"Fuller, Jones and White",Travel,23,4
726547,Adam,Hansen,Unknown,1966-10-29,94.69,2023-09-13,Johnson-Campbell,Cosmetic,60,9
485562,Betty,Atkinson,F,1994-10-22,58.97,2023-09-21,"Freeman, Bush and Zuniga",Cosmetic,32,9
